"Comparison","Order","average","sd","ratio","ava","avb","cumsum","p"
"G1_G0","1355ee0e4102eda4798184a58389797f",0.295720148148148,0.159446743534424,1.85466408151699,0.0354296296296296,0.615543703703704,0.999989631427954,0.001
"G1_G0","cdecb1c00aad4c9ee55bdae8d8c154d7",0.110166518518518,0.169218780641228,0.65103009312004,0.0424659259259259,0.215033333333333,0.993261893595446,0.002
"G1_G0","1a2518325e43623283d3ad6996e6a6dc",0.0687973580246914,0.0538058857986445,1.27862141852192,0.0845259259259259,0.155273333333333,0.9999771891415,0.003
"G1_G0","5f92ec0b039c9127715e033a44803b16",0.062319925925926,0.033118467024407,1.88172737222404,0.12474962962963,0.000126666666666667,0.999999999999999,0.001
"G1_G0","f36c161e4341ca7c0fd5d7615f736706",0.0400375555555556,0.0612447061868428,0.653730878117215,0.0802688888888889,0.000322962962962963,0.999999999999999,0.002
"G1_G0","cba990f8b3d42525af59136619c45353",0.0322561975308641,0.0289917521829353,1.11259910499133,0.0645903703703704,0.000126666666666667,0.983536255965592,0.529
"G1_G0","1342e1df4714070ba6c899351d5fbe98",0.022994074074074,0.0259193744810684,0.887138464351021,0.0459881481481481,0,0.999994193599654,0.87
"G1_G0","ad4cd5d588129069899b6d0c45e64102",0.0223827901234568,0.0168534602873246,1.32808276412475,0.0468259259259259,0.00420296296296296,0.992753971812857,0.099
"G1_G0","0fdeaf3282ab2f5a5a768cd83c4355d4",0.021248987654321,0.0251819596597886,0.843817873644365,0.04294,0.000621481481481481,0.999999999999999,0.001
"G1_G0","58c0a8cf76f6b0cb40a42ccf770f67b0",0.016178,0.0250733836730533,0.645226037736051,0.0323140740740741,0.00179333333333333,0.997734757328133,0.198
"G1_G2","f36c161e4341ca7c0fd5d7615f736706",0.0349797916666667,0.0548114521083708,0.638183998437154,0.0802688888888889,0.0409923611111111,1,0.185
"G1_G2","5f92ec0b039c9127715e033a44803b16",0.0327942592592593,0.0252207297407119,1.30028986458397,0.12474962962963,0.143025,1,1
"G1_G2","cba990f8b3d42525af59136619c45353",0.0293770138888889,0.0196810255967392,1.49265665777886,0.0645903703703704,0.0990868055555556,0.917577613829129,0.933
"G1_G2","1a2518325e43623283d3ad6996e6a6dc",0.0289580324074074,0.0206481471466542,1.40245186174488,0.0845259259259259,0.101917361111111,0.999800434404085,1
"G1_G2","1342e1df4714070ba6c899351d5fbe98",0.0271817361111111,0.020581162700829,1.32070945195027,0.0459881481481481,0.0687784722222222,0.999883007081504,0.335
"G1_G2","0fdeaf3282ab2f5a5a768cd83c4355d4",0.0201171990740741,0.0214424978123575,0.938192893855882,0.04294,0.0156145833333333,0.999999326853174,0.006
"G1_G2","ad4cd5d588129069899b6d0c45e64102",0.0188426157407407,0.015660623849015,1.20318423597958,0.0468259259259259,0.0656173611111111,0.959724772700755,0.702
"G1_G2","58c0a8cf76f6b0cb40a42ccf770f67b0",0.0174193981481481,0.0210714955689085,0.826680673480572,0.0323140740740741,0.0161736111111111,0.987917642729565,0.105
"G1_G2","cdecb1c00aad4c9ee55bdae8d8c154d7",0.0158798611111111,0.0183296651524153,0.866347583497377,0.0424659259259259,0.0224611111111111,0.962943177432528,0.978
"G1_G2","dc37dab042e0f652bba8cacb048bbc87",0.0153084490740741,0.0175821706441241,0.870680269457521,0.0269222222222222,0.0231604166666667,0.999995736736764,0.54
"G1_G3","1a2518325e43623283d3ad6996e6a6dc",0.0391669576719577,0.0408530894253073,0.958726946307637,0.0845259259259259,0.121189682539683,0.999924649266392,0.924
"G1_G3","f36c161e4341ca7c0fd5d7615f736706",0.0379628835978836,0.0529778609757179,0.716580150627139,0.0802688888888889,0.0478071428571429,1,0.057
"G1_G3","5f92ec0b039c9127715e033a44803b16",0.0359886772486772,0.025470059085401,1.41297973153527,0.12474962962963,0.095347619047619,1,0.982
"G1_G3","cba990f8b3d42525af59136619c45353",0.0354156878306878,0.0245123014600063,1.44481283768769,0.0645903703703704,0.108883333333333,0.926681400467894,0.1
"G1_G3","1342e1df4714070ba6c899351d5fbe98",0.0284244973544974,0.0218525717888972,1.30073922781662,0.0459881481481481,0.0571603174603175,0.999975007661203,0.212
"G1_G3","dc37dab042e0f652bba8cacb048bbc87",0.021365291005291,0.0325292024845944,0.656803406582422,0.0269222222222222,0.0357015873015873,1,0.154
"G1_G3","0fdeaf3282ab2f5a5a768cd83c4355d4",0.0206777248677249,0.018971856984259,1.08991570434466,0.04294,0.0275873015873016,1,0.009
"G1_G3","58c0a8cf76f6b0cb40a42ccf770f67b0",0.0199643650793651,0.0215185285955122,0.927775567495297,0.0323140740740741,0.0260055555555556,0.994214764072322,0.009
"G1_G3","cdecb1c00aad4c9ee55bdae8d8c154d7",0.0176053703703704,0.0174442870652508,1.00923415812392,0.0424659259259259,0.0332753968253968,0.973901738532487,0.938
"G1_G3","ad4cd5d588129069899b6d0c45e64102",0.0167909523809524,0.0139833420778475,1.20078249444764,0.0468259259259259,0.0465428571428571,0.970585792392612,0.919
"G0_G2","1355ee0e4102eda4798184a58389797f",0.294479930555556,0.1588526623747,1.85379285529971,0.615543703703704,0.0385965277777778,1,0.001
"G0_G2","cdecb1c00aad4c9ee55bdae8d8c154d7",0.106663425925926,0.175640791861349,0.607281627437241,0.215033333333333,0.0224611111111111,0.98848882225572,0.002
"G0_G2","5f92ec0b039c9127715e033a44803b16",0.0714491666666667,0.0231227432702247,3.08999524112142,0.000126666666666667,0.143025,1,0.001
"G0_G2","1a2518325e43623283d3ad6996e6a6dc",0.066661875,0.0474013215935412,1.40632946000145,0.155273333333333,0.101917361111111,1,0.009
"G0_G2","cba990f8b3d42525af59136619c45353",0.0494800694444445,0.0106496017061254,4.64618967073526,0.000126666666666667,0.0990868055555556,0.970786374656166,0.001
"G0_G2","1342e1df4714070ba6c899351d5fbe98",0.0343892361111111,0.0190657505872345,1.80371792622402,0,0.0687784722222222,1,0.003
"G0_G2","ad4cd5d588129069899b6d0c45e64102",0.031075162037037,0.0156913001412705,1.98040708910441,0.00420296296296296,0.0656173611111111,0.987312301647537,0.001
"G0_G2","f36c161e4341ca7c0fd5d7615f736706",0.0203346990740741,0.00953715679277871,2.13215526554738,0.000322962962962963,0.0409923611111111,1,0.755
"G0_G2","e17563b3df444656591db2ee65e212f1",0.0160194212962963,0.0102097895762731,1.56902560788563,1.03703703703704e-05,0.0320479166666667,0.999913395265318,0.129
"G0_G2","aa935103e3f612d4a45a649b5acab4e0",0.0130071990740741,0.00828813730272608,1.56937543370521,2.96296296296296e-06,0.0260173611111111,1,0.34
"G0_G3","1355ee0e4102eda4798184a58389797f",0.29429537037037,0.158327869189115,1.85877174926701,0.615543703703704,0.0395531746031746,1,0.001
"G0_G3","cdecb1c00aad4c9ee55bdae8d8c154d7",0.108370185185185,0.17201160371179,0.630016713097811,0.215033333333333,0.0332753968253968,0.997739612930008,0.013
"G0_G3","1a2518325e43623283d3ad6996e6a6dc",0.0713961111111111,0.0533637706985769,1.33791353527825,0.155273333333333,0.121189682539683,1,0.001
"G0_G3","cba990f8b3d42525af59136619c45353",0.0543783333333333,0.0229348096109955,2.370995628726,0.000126666666666667,0.108883333333333,0.97923253522061,0.001
"G0_G3","5f92ec0b039c9127715e033a44803b16",0.0476195238095238,0.0251771621951007,1.89137772718445,0.000126666666666667,0.095347619047619,1,0.024
"G0_G3","1342e1df4714070ba6c899351d5fbe98",0.0285801587301587,0.0242068343624773,1.18066486109644,0,0.0571603174603175,1,0.195
"G0_G3","f36c161e4341ca7c0fd5d7615f736706",0.0237651587301587,0.0152286903622581,1.56055170634088,0.000322962962962963,0.0478071428571429,1,0.567
"G0_G3","ad4cd5d588129069899b6d0c45e64102",0.0221831746031746,0.0137994826218792,1.60753668894825,0.00420296296296296,0.0465428571428571,0.996811487777853,0.125
"G0_G3","e17563b3df444656591db2ee65e212f1",0.0187849206349206,0.0197777986654473,0.94979835484617,1.03703703703704e-05,0.0375761904761905,1,0.002
"G0_G3","dc37dab042e0f652bba8cacb048bbc87",0.0178497354497354,0.0329440772072607,0.541819257447631,7.40740740740741e-06,0.0357015873015873,1,0.346
"G2_G3","1a2518325e43623283d3ad6996e6a6dc",0.0336386904761905,0.0378462505865126,0.888824915411261,0.101917361111111,0.121189682539683,1,0.985
"G2_G3","5f92ec0b039c9127715e033a44803b16",0.0336014384920635,0.0246181882572981,1.36490297908508,0.143025,0.095347619047619,1,0.999
"G2_G3","1342e1df4714070ba6c899351d5fbe98",0.0259418650793651,0.0175301357473171,1.47984393579698,0.0687784722222222,0.0571603174603175,1,0.524
"G2_G3","cba990f8b3d42525af59136619c45353",0.0210942956349206,0.0147095565557302,1.43405381086782,0.0990868055555556,0.108883333333333,0.886362317781346,1
"G2_G3","dc37dab042e0f652bba8cacb048bbc87",0.0188642857142857,0.0299378683707331,0.630114525212063,0.0231604166666667,0.0357015873015873,1,0.28
"G2_G3","ad4cd5d588129069899b6d0c45e64102",0.0176245535714286,0.0140023645522255,1.25868409622484,0.0656173611111111,0.0465428571428571,0.948174334016377,0.843
"G2_G3","e17563b3df444656591db2ee65e212f1",0.0157026785714286,0.0159814366043809,0.982557385806237,0.0320479166666667,0.0375761904761905,0.996719690179447,0.203
"G2_G3","f36c161e4341ca7c0fd5d7615f736706",0.0149039186507936,0.0105914742541942,1.4071618636935,0.0409923611111111,0.0478071428571429,1,0.972
"G2_G3","aa935103e3f612d4a45a649b5acab4e0",0.0139002976190476,0.0110867329188329,1.25377762058607,0.0260173611111111,0.0343960317460317,1,0.168
"G2_G3","1355ee0e4102eda4798184a58389797f",0.0138483134920635,0.0120677369485384,1.14754850483717,0.0385965277777778,0.0395531746031746,1,1
