"Gen1","Gen2","p_adj","Treatment","Metric"
"G1","G0",0.685714285714286,"ControlA","Observed richness"
"G1","G1",NA,"ControlA","Observed richness"
"G1","G2",NA,"ControlA","Observed richness"
"G2","G0",0.685714285714286,"ControlA","Observed richness"
"G2","G1",0.685714285714286,"ControlA","Observed richness"
"G2","G2",NA,"ControlA","Observed richness"
"G3","G0",0.685714285714286,"ControlA","Observed richness"
"G3","G1",0.685714285714286,"ControlA","Observed richness"
"G3","G2",0.685714285714286,"ControlA","Observed richness"
"G1","G0",0.0428571428571429,"ControlA","Shannon diversity"
"G1","G1",NA,"ControlA","Shannon diversity"
"G1","G2",NA,"ControlA","Shannon diversity"
"G2","G0",0.0428571428571429,"ControlA","Shannon diversity"
"G2","G1",0.0428571428571429,"ControlA","Shannon diversity"
"G2","G2",NA,"ControlA","Shannon diversity"
"G3","G0",0.0428571428571429,"ControlA","Shannon diversity"
"G3","G1",0.2,"ControlA","Shannon diversity"
"G3","G2",0.137142857142857,"ControlA","Shannon diversity"
"G1","G0",0.0857142857142857,"ExpA","Observed richness"
"G1","G1",NA,"ExpA","Observed richness"
"G1","G2",NA,"ExpA","Observed richness"
"G2","G0",0.137142857142857,"ExpA","Observed richness"
"G2","G1",0.0857142857142857,"ExpA","Observed richness"
"G2","G2",NA,"ExpA","Observed richness"
"G3","G0",0.0857142857142857,"ExpA","Observed richness"
"G3","G1",0.0857142857142857,"ExpA","Observed richness"
"G3","G2",0.2,"ExpA","Observed richness"
"G1","G0",0.0685714285714286,"ExpA","Shannon diversity"
"G1","G1",NA,"ExpA","Shannon diversity"
"G1","G2",NA,"ExpA","Shannon diversity"
"G2","G0",0.0685714285714286,"ExpA","Shannon diversity"
"G2","G1",0.0685714285714286,"ExpA","Shannon diversity"
"G2","G2",NA,"ExpA","Shannon diversity"
"G3","G0",0.0685714285714286,"ExpA","Shannon diversity"
"G3","G1",0.0685714285714286,"ExpA","Shannon diversity"
"G3","G2",0.342857142857143,"ExpA","Shannon diversity"
"G1","G0",0.0857142857142857,"ControlB","Observed richness"
"G1","G1",NA,"ControlB","Observed richness"
"G1","G2",NA,"ControlB","Observed richness"
"G2","G0",1,"ControlB","Observed richness"
"G2","G1",0.0857142857142857,"ControlB","Observed richness"
"G2","G2",NA,"ControlB","Observed richness"
"G3","G0",0.64,"ControlB","Observed richness"
"G3","G1",0.2,"ControlB","Observed richness"
"G3","G2",0.2,"ControlB","Observed richness"
"G1","G0",0.0571428571428571,"ControlB","Shannon diversity"
"G1","G1",NA,"ControlB","Shannon diversity"
"G1","G2",NA,"ControlB","Shannon diversity"
"G2","G0",0.0571428571428571,"ControlB","Shannon diversity"
"G2","G1",0.0571428571428571,"ControlB","Shannon diversity"
"G2","G2",NA,"ControlB","Shannon diversity"
"G3","G0",0.133333333333333,"ControlB","Shannon diversity"
"G3","G1",0.133333333333333,"ControlB","Shannon diversity"
"G3","G2",0.133333333333333,"ControlB","Shannon diversity"
"G1","G0",0.274285714285714,"ExpB","Observed richness"
"G1","G1",NA,"ExpB","Observed richness"
"G1","G2",NA,"ExpB","Observed richness"
"G2","G0",1,"ExpB","Observed richness"
"G2","G1",0.274285714285714,"ExpB","Observed richness"
"G2","G2",NA,"ExpB","Observed richness"
"G3","G0",0.088203144571019,"ExpB","Observed richness"
"G3","G1",0.099491981443006,"ExpB","Observed richness"
"G3","G2",0.088203144571019,"ExpB","Observed richness"
"G1","G0",0.0685714285714286,"ExpB","Shannon diversity"
"G1","G1",NA,"ExpB","Shannon diversity"
"G1","G2",NA,"ExpB","Shannon diversity"
"G2","G0",0.0571428571428571,"ExpB","Shannon diversity"
"G2","G1",0.114285714285714,"ExpB","Shannon diversity"
"G2","G2",NA,"ExpB","Shannon diversity"
"G3","G0",0.0571428571428571,"ExpB","Shannon diversity"
"G3","G1",0.0685714285714286,"ExpB","Shannon diversity"
"G3","G2",0.0571428571428571,"ExpB","Shannon diversity"
