"taxon","lfc_expA_G1G2","padj_expA_G1G2","lfc_expB_G1G2","padj_expB_G1G2","OrderName","anbc_lfc_expA_G1G2","anbc_padj_expA_G1G2","anbc_lfc_expB_G1G2","anbc_padj_expB_G1G2"
"6d04abd9e6bdf4989949634a5735a002",23.1251091616306,NA,NA,NA,"Micrarchaeales",NA,1,NA,NA
"0dcefd65571849dd41395e1d88748cee",23.4353499791962,NA,-0.932533159448648,NA,"Verrucomicrobiales",NA,1,0.3729361583769,1
"f7f640f0a3598e296a8b9c160258f919",23.9229431910551,NA,-6.03893654362413,NA,"Methylacidiphilales",NA,1,NA,1
"341476ed2ddccd9b810f20810c2169b1",-0.948716961283275,0.981349496124288,0.876160009682127,0.987217293744938,"Acidobacteriales",-1.43994960415684,0.735600429714439,-0.530337477530486,1
"7496671ed8f70f49b6f48d2368db5626",-22.4879629318208,NA,0.804326525686219,0.987217293744938,"Cyanobacteriales",NA,1,0.13919809610108,1
"efc1ec27585ebab02453b0b3ad210d4a",-2.24297616075744,NA,2.56728353383889,0.987217293744938,"Cytophagales",-2.20278301622112,1,1.45014605188378,1
"4e75934a4bf4dfd06f7ef1ec24c6c72c",-1.7452352252018,0.981349496124288,-9.06183921823562,0.0781935589151553,"AKYH767",NA,1,NA,1
"e48f184a1738f2ab51d3dd37db99ee47",24.7175314204043,1.93879638880571e-12,-8.49111574981001,0.0913012380138523,"Sphingobacteriales",NA,1,NA,1
"cba990f8b3d42525af59136619c45353",1.26987563029856,0.981349496124288,-0.572385516240994,0.987217293744938,"Bacteroidales",2.88871783040199,0.735600429714439,-0.974830883605034,1
"fef04cf977569f3ccadd9511eee52ad5",23.8350206983099,NA,1.13204880040606,0.987217293744938,"Baltobacterales",NA,1,1.14739823790016,1
"0f79094cae6cd434ba058b9fdd88d61d",-0.129194521511732,0.981349496124288,0.410779585673691,NA,"Fusobacteriales",-1.42615842072464,0.842174942123397,1.07974796592799,1
"6784ec90ade80686afc929fe409b8ac2",-0.68579179890288,0.981349496124288,-1.51839792889747,NA,"Fusobacteriales",-1.72285989816126,0.735600429714439,-0.0856771677092023,1
"0c1588fa28cc4e51970a81953867347f",22.964997872809,NA,21.5839372962918,NA,"Pirellulales",NA,1,NA,1
"f6fae744fd0df8cf57216d09b74c0c54",22.9789270392615,NA,1.27753045606957,0.987217293744938,"Isosphaerales",NA,1,0.432065966871443,1
"a2623a81506363cd410718d6f0a784c5",0.701726195256793,0.981349496124288,-1.2303147233699,0.987217293744938,"Veillonellales",0.30590490949358,1,-1.30406035131407,1
"ad4cd5d588129069899b6d0c45e64102",0.966384702378221,0.981349496124288,0.208919205463473,0.987217293744938,"Actinomycetales",0.596714059761642,1,-0.264664055298477,1
"bbde64bb39e1bcd06e22178c3b164a75",21.2892120532516,NA,22.6049515061764,NA,"Propionibacteriales",NA,1,NA,1
"14569551c45f41dc37a8a789b6c34e93",-1.84405214876139,NA,0.817933040231171,0.987217293744938,"Streptosporangiales",-1.86131969630374,1,2.00869507536644,1
"cdecb1c00aad4c9ee55bdae8d8c154d7",-2.06430658739881,0.881676268919465,0.280700680057854,0.987217293744938,"Mycobacteriales",-1.59474777558462,0.735600429714439,-0.481806285222146,1
"7e51b4b16965ac6a7d65eea594ecfeba",-1.43722137431074,0.981349496124288,-9.01391778586695,0.0781935589151553,"Ktedonobacterales",-1.89791980066763,0.735600429714439,NA,1
"7b4332d9b4fef3874246194bff33039e",-27.1501401904243,3.56933095107006e-14,-0.596323686230668,0.987217293744938,"Mycoplasmatales",NA,1,0.265705877911686,1
"01ed22048e8df4236768e3d7bea94c41",24.1587943898358,NA,1.87548935653188,0.987217293744938,"Coriobacteriales",NA,1,0.489597623156397,1
"a6684ce7c07660834ac05d6a898e43d5",-1.42722228483138,NA,0.197922935684259,0.987217293744938,"Erysipelotrichales",-2.36408175506207,0.735600429714439,-0.450005420761602,1
"990d16ab4495e7a080cc7ea6d3b6602e",23.3987178536356,NA,NA,NA,"UBA5066",NA,1,NA,NA
"7728dcc32fd62163bbcd131499f3644d",25.5122065409148,5.43253045359886e-13,-1.09557515934571,0.987217293744938,"Desulfobulbales",NA,1,-0.314655330845435,1
"f678158684fc17d8c7b44b7e124491e5",23.4462813854875,NA,NA,NA,"UBA796",NA,1,NA,NA
"7f9ee874b3f3cfa66c521ee9b16a71e0",23.9830028714093,NA,-8.8477406219991,0.0781935589151553,"Desulfomonilales",NA,1,NA,1
"707719bd2799b834ba0e74112fa489a0",22.8451235963565,NA,-6.05329977752056,NA,"Myxococcales",NA,1,NA,1
"cd96dc701c49df0b227c915d9ce9bc75",23.3900412796384,NA,-9.02212811580146,0.0781935589151553,"Polyangiales",NA,1,NA,1
"8550561c2fdadd7f67c40b816b48c1ef",-24.8277259790419,NA,NA,NA,"Oligoflexales",NA,1,NA,NA
"30688358cee6df00f97a09297ddf5434",23.2291151519073,NA,-0.991550582227905,0.987217293744938,"Micropepsales",NA,1,0.713921372851221,1
"202584e0410e749e15eaa0b3dc36620f",23.769746997269,NA,-21.8746128638711,NA,"Rhizobiales_A",NA,1,NA,1
