"taxon","anbc_lfc_oat_G2","anbc_padj_oat_G2","anbc_lfc_oat_G3","anbc_padj_oat_G3","anbc_lfc_wheat_G2","anbc_padj_wheat_G2","anbc_lfc_wheat_G3","anbc_padj_wheat_G3","OrderName"
"835c646a619cfb59f032918f6d6724b1",NA,1,NA,1,-1.87819508970004,1,NA,NA,"Thermoplasmatales"
"6d04abd9e6bdf4989949634a5735a002",0.508140497493379,1,NA,NA,NA,NA,NA,NA,"Micrarchaeales"
"028fdac2f188769b60fd4cf260372fcb",NA,1,NA,NA,NA,NA,NA,NA,"Peribacterales"
"0dcefd65571849dd41395e1d88748cee",NA,1,NA,1,-0.898747291081299,1,NA,NA,"Verrucomicrobiales"
"f7f640f0a3598e296a8b9c160258f919",NA,1,NA,NA,NA,NA,NA,NA,"Methylacidiphilales"
"050d101aa8c55d897943814d09a3a7a7",NA,1,NA,NA,NA,NA,NA,NA,"UBA2199"
"341476ed2ddccd9b810f20810c2169b1",0.482536253755575,1,-0.156506420362809,1,0.369003122694196,1,0.822630390463501,1,"Acidobacteriales"
"f0fe173a356d624ed9d087e5e114d9d8",NA,1,-0.165629594453968,1,NA,NA,NA,1,"Anaerolineales"
"2e57b76efd5a2048c37546212f61eed8",NA,1,NA,1,NA,1,NA,NA,"Limnocylindrales"
"1991586b6583c5d8e5e5db978e7249c3",NA,1,NA,NA,NA,1,NA,NA,"UBA7540"
"efc1ec27585ebab02453b0b3ad210d4a",4.10081370005945,1,NA,NA,2.06929171599407,1,NA,NA,"Cytophagales"
"4e75934a4bf4dfd06f7ef1ec24c6c72c",NA,1,NA,NA,NA,1,NA,NA,"AKYH767"
"609ec913c0ebb5d9e633a384d60b8fc1",NA,1,NA,1,-0.720050009841897,1,NA,NA,"Chitinophagales"
"e48f184a1738f2ab51d3dd37db99ee47",NA,1,NA,NA,NA,NA,NA,NA,"Sphingobacteriales"
"cba990f8b3d42525af59136619c45353",0.621169112330742,1,0.596920586517248,1,0.0225144747445905,1,0.0868507797825274,1,"Bacteroidales"
"fef04cf977569f3ccadd9511eee52ad5",NA,1,NA,NA,NA,1,NA,NA,"Baltobacterales"
"0f79094cae6cd434ba058b9fdd88d61d",NA,1,NA,1,-0.0642716565403038,1,NA,NA,"Fusobacteriales"
"6784ec90ade80686afc929fe409b8ac2",0.396923563877584,1,NA,NA,-0.0798160927263966,1,NA,1,"Fusobacteriales"
"112b8e495108a34b906472ab88df2e8c",NA,1,NA,NA,NA,1,NA,NA,"Deinococcales"
"0c1588fa28cc4e51970a81953867347f",NA,1,NA,NA,0.687832816327524,1,NA,NA,"Pirellulales"
"f6fae744fd0df8cf57216d09b74c0c54",0.236290082890154,1,-0.911074820744571,1,-0.294678353953192,1,NA,NA,"Isosphaerales"
"29bf965f923ca78447764713e8f2c56a",NA,1,NA,NA,NA,1,NA,NA,"Chitinivibrionales"
"a2623a81506363cd410718d6f0a784c5",1.60522345725294,1,0.421963151025818,1,-0.0567400968561283,1,2.3385339079191,1,"Veillonellales"
"ad4cd5d588129069899b6d0c45e64102",-0.228653524232565,1,-0.0662366405193455,1,0.0773649126065503,1,0.0496456262247496,1,"Actinomycetales"
"bbde64bb39e1bcd06e22178c3b164a75",2.36756428828088,1,1.83504138777254,1,2.43697917690745,1,0.0198839373508527,1,"Propionibacteriales"
"14569551c45f41dc37a8a789b6c34e93",0.288644816110469,1,NA,1,2.14176229468318,1,NA,1,"Streptosporangiales"
"cdecb1c00aad4c9ee55bdae8d8c154d7",-0.736557083357654,1,-0.322760577580371,1,0.367928298100427,1,-0.755505415251722,1,"Mycobacteriales"
"7e51b4b16965ac6a7d65eea594ecfeba",NA,1,NA,NA,NA,1,NA,NA,"Ktedonobacterales"
"01ed22048e8df4236768e3d7bea94c41",NA,1,NA,1,-0.478967490114735,1,NA,NA,"Coriobacteriales"
"a6684ce7c07660834ac05d6a898e43d5",-0.40179500998112,1,-1.49161035191221,1,0.484643184418354,1,0.348520898487122,1,"Erysipelotrichales"
"990d16ab4495e7a080cc7ea6d3b6602e",NA,1,NA,NA,NA,NA,NA,NA,"UBA5066"
"7728dcc32fd62163bbcd131499f3644d",0.54941455846945,1,NA,1,NA,1,NA,1,"Desulfobulbales"
"6c0daa89686e1183f155306637ce7ac4",NA,1,NA,NA,NA,NA,NA,NA,"Geobacterales"
