"Generation","Order","mean_rel_abund","sd_rel_abund"
"G0","Bacteroidales",0.000126666666666667,0.000360745847013609
"G1","Bacteroidales",0.0645903703703704,0.0599401731221179
"G2","Bacteroidales",0.0990868055555556,0.0219488950831328
"G3","Bacteroidales",0.108883333333333,0.0474863048683248
"G0","Burkholderiales_592522",0.000621481481481481,0.0014655386876213
"G1","Burkholderiales_592522",0.04294,0.0521515703768253
"G2","Burkholderiales_592522",0.0156145833333333,0.0132713638429149
"G3","Burkholderiales_592522",0.0275873015873016,0.0199337048708778
"G0","Enterobacterales_A_737866",0.615543703703704,0.349215715474199
"G1","Enterobacterales_A_737866",0.0354296296296296,0.0271674154039278
"G2","Enterobacterales_A_737866",0.0385965277777778,0.0273304692021688
"G3","Enterobacterales_A_737866",0.0395531746031746,0.0263726855079937
"G0","Lactobacillales",0.155273333333333,0.154545944196944
"G1","Lactobacillales",0.0845259259259259,0.0582217132636585
"G2","Lactobacillales",0.101917361111111,0.041134619098449
"G3","Lactobacillales",0.121189682539683,0.0943855291820721
"G0","Pseudomonadales_650611",0.000126666666666667,0.000303501029289097
"G1","Pseudomonadales_650611",0.12474962962963,0.0684414972910465
"G2","Pseudomonadales_650611",0.143025,0.0476615627933163
"G3","Pseudomonadales_650611",0.095347619047619,0.052165285278593
"G0","Pseudomonadales_660879",0.000322962962962963,0.000785533515627446
"G1","Pseudomonadales_660879",0.0802688888888889,0.126591594378125
"G2","Pseudomonadales_660879",0.0409923611111111,0.019643151339521
"G3","Pseudomonadales_660879",0.0478071428571429,0.03159673117331
